cupcake,link,eggs,sugar,salt,flour,butter,vanilla,water,baking_powder,oil,buttermilk,milk
0,https://www.allrecipes.com/chocolate-chip-banana-muffins-recipe-8645590,1,12,0.16665,28,0,0.3333,0,0.3333,0,0,0
0,https://www.allrecipes.com/cinnamon-raisin-french-toast-muffins-recipe-7972967,2,2.6666,0.6666,2,0,0.3333,0,0,0,0,0
0,https://www.allrecipes.com/peanut-butter-banana-muffins-recipe-8642312,2,16,0.3333,32,22,0,0,0.3333,0,0,2
0,https://www.allrecipes.com/plum-and-pecan-muffins-recipe-8302598,2,8,0,32,4,0.3333,0,0.6666,0,0,0
0,https://www.allrecipes.com/plum-muffins-recipe-8702026,2,16,0.16665,32,8,0,0,0.6666,0,0,8
0,https://www.allrecipes.com/plum-streusel-muffins-recipe-8698288,2,16,0.9999,48,8,0.6666,0,1,0,0,8
0,https://www.allrecipes.com/recipe/150141/aunt-normas-rhubarb-muffins/,1,25.33333349227904,0.16665,40,1,0.3333,0,0.3333,0,16,0
0,https://www.allrecipes.com/recipe/16755/basic-corn-muffins/,1,5.33333349227904,0.16665,16,0,0,0,0.6666,0,0,16
0,https://www.allrecipes.com/recipe/17652/banana-crumb-muffins/,1,17.33333349227904,0.16665,26,6.33333349227904,0,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/20995/easy-morning-glory-muffins/,3,20,0.083325,32,0,0.6666,0,0,1,0,0
0,https://www.allrecipes.com/recipe/214651/donut-muffins/,0,16,0,16,0,0,0,0.3333,0,0,8
0,https://www.allrecipes.com/recipe/222601/zucchini-chocolate-chip-muffins/,1,12,0.16665,24,0,0.3333,0,0,0,0,4
0,https://www.allrecipes.com/recipe/222630/lemon-cranberry-muffins/,2,20,0.16665,32,0,0,0,1,0,0,12
0,https://www.allrecipes.com/recipe/22458/easy-oatmeal-muffins/,1,4,0.16665,16,0,0,0,0.6666,0,0,16
0,https://www.allrecipes.com/recipe/228553/moist-chocolate-muffins/,1,16,0,32,0,0.3333,0,0,0,0,8
0,https://www.allrecipes.com/recipe/228562/pumpkin-muffins-with-streusel-topping/,3,36,0.3333,42,2,0.3333,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/231643/hearty-breakfast-muffins/,2,8,0.3333,16,0,0,0,0,0,0,0
0,https://www.allrecipes.com/recipe/232104/chocolate-chip-mini-muffins/,1,10,0.16665,32,0,0.6666,0,1,0,0,20
0,https://www.allrecipes.com/recipe/23294/blueberry-cream-muffins/,4,32,0.3333,64,0,0.3333,0,0,1,0,0
0,https://www.allrecipes.com/recipe/233146/vegan-banana-muffins/,0,24,0.3333,48,0,0,0,0.6666,1,0,16
0,https://www.allrecipes.com/recipe/233154/easy-sweet-cornbread-muffins/,2,2,0,0,3,0,0,0,0,0,8
0,https://www.allrecipes.com/recipe/23787/awesome-carrot-muffins/,4,12,0.3333,32,0,0,0,1,1,0,0
0,https://www.allrecipes.com/recipe/238979/apple-cinnamon-zucchini-muffins/,3,20,0,36,0,1,0,0.249975,0,0,0
0,https://www.allrecipes.com/recipe/24352/easy-apple-cinnamon-muffins/,1,20,0.16665,29.33333349227904,8,0,0,0.6666,0,0,5.33333349227904
0,https://www.allrecipes.com/recipe/244987/apple-cinnamon-oatmeal-muffins/,1,9,0.16665,24,1,0.3333,0,0.3333,0,0,8
0,https://www.allrecipes.com/recipe/246624/best-yet-banana-mini-muffins/,1,12,0,24,5.33333349227904,0,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/25224/classic-bran-muffins/,1,10.66666698455808,0.16665,16,0,0.16665,0,0.3333,0,16,0
0,https://www.allrecipes.com/recipe/257206/ultimate-banana-muffins/,1,12,0.16665,24,5.33333349227904,0.3333,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/269764/chocolate-banana-muffins/,1,8,0.16665,24,0,0.3333,0,0.49995,0,0,4
0,https://www.allrecipes.com/recipe/274126/rhubarb-berry-mini-loaves/,1,12,0.16665,40,8,0,0,0.6666,0,0,0
0,https://www.allrecipes.com/recipe/277336/easy-cranberry-orange-muffins/,1,12,0.16665,24,0,0,0,0.6666,0,0,5.33333349227904
0,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/,2,21.33333349227904,0.16665,33,9,0,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/40403/best-of-the-best-blueberry-muffins/,2,22,0.16665,32,8,0,0,0.6666,0,8,0
0,https://www.allrecipes.com/recipe/42719/banana-muffins-ii/,1,12,0.16665,24,5.33333349227904,0,0,0.3333,0,0,0
0,https://www.allrecipes.com/recipe/6714/banana-oat-muffins/,1,8,0.16665,24,0,0.16665,0,0.6666,0,0,12
0,https://www.allrecipes.com/recipe/6753/oatmeal-chocolate-chip-muffins/,1,12,0.3333,20,0,0,0,1.3332,0,0,20
0,https://www.allrecipes.com/recipe/6766/oatmeal-blueberry-muffins/,1,5.33333349227904,0.16665,16,0,0,0,1,0,0,16
0,https://www.allrecipes.com/recipe/6805/easy-blueberry-muffins-i/,1,8,0,32,0,0,0,0.6666,0,0,16
0,https://www.allrecipes.com/recipe/6854/streusel-topped-blueberry-muffins/,2,17,0.16665,35.5,10,0.3333,0,0.6666,0,0,8
0,https://www.allrecipes.com/recipe/6865/to-die-for-blueberry-muffins/,1,20,0.16665,29.33333349227904,4,0,0,0.6666,0,0,5.33333349227904
0,https://www.allrecipes.com/recipe/6874/best-ever-muffins/,1,12,0.16665,32,0,0,0,0.9999,0,0,16
0,https://www.allrecipes.com/recipe/6990/sarahs-banana-bread-muffins/,1,16,0.16665,32,0,0,0,0,0,0,0
0,https://www.allrecipes.com/recipe/7167/chocolate-zucchini-muffins/,3,32,0.3333,48,0,0.49995,0,0.16665,1,0,0
0,https://www.allrecipes.com/recipe/74658/peach-muffins/,3,32,0.3333,48,0,0,0,0,1,0,0
0,https://www.allrecipes.com/recipe/7906/chocolate-chip-muffins/,1,13,0.16665,32,0,0,0,0.9999,0,0,12
0,https://www.allrecipes.com/recipe/7958/pumpkin-chocolate-chip-muffins/,2,12,0.083325,24,0,0,4,0.249975,0,0,0
0,https://www.allrecipes.com/recipe/8116/oat-bran-muffins/,2,8,0.16665,24,0,0,0,0.6666,0,0,0
0,https://www.allrecipes.com/recipe/8449/strawberry-muffins/,1,8,0.16665,28,0,0,0,0.6666,0,0,8
0,https://www.allrecipes.com/rhubarb-almond-muffins-recipe-8379783,1,8,0.3333,24,0,0,0,0.49995,0,0,16
0,https://www.allrecipes.com/rhubarb-poppy-seed-muffins-recipe-7507438,3,20,0.16665,32,8,1,0,0.6666,0,0,16
0,https://www.allrecipes.com/salted-caramel-pumpkin-muffins-recipe-8727293,2,12,0.6666,36,1,0,0,0.6666,0,0,0
