state,academic_year,tuition
Maryland,2006-07,8462.541837837838
Maryland,2007-08,8379.814479116658
Maryland,2008-09,8020.086777836373
Maryland,2009-10,8284.973387632284
Maryland,2010-11,8469.600148616355
Maryland,2011-12,8409.647993555296
Maryland,2012-13,8552.226674348767
Maryland,2013-14,8663.28803314366
Maryland,2014-15,8696.80703172124
Maryland,2015-16,9163.29158226419
Massachusetts,2004-05,8863.211383315733
Massachusetts,2005-06,8958.685209825997
Massachusetts,2006-07,8892.939960687962
Massachusetts,2007-08,9036.31348055689
Massachusetts,2008-09,8939.055054463457
Massachusetts,2009-10,10238.74653937061
Massachusetts,2010-11,10386.398631261725
Massachusetts,2011-12,10737.85602995724
Massachusetts,2012-13,11092.894257629723
Massachusetts,2013-14,10980.5582049996
Massachusetts,2014-15,10986.923867266387
Massachusetts,2015-16,11588.125344457978
Michigan,2004-05,7930.772312565997
Michigan,2005-06,8668.00121801433
Michigan,2006-07,8998.487184275184
Michigan,2007-08,9737.495660105616
Michigan,2008-09,9905.761942863377
Michigan,2009-10,10817.23184011219
Michigan,2010-11,11094.661691382546
Michigan,2011-12,11451.952505732066
Michigan,2012-13,11659.570422166353
Michigan,2013-14,11851.172109111456
Michigan,2014-15,11618.211729368812
Michigan,2015-16,11990.52822403027
Minnesota,2004-05,8143.721235480463
Minnesota,2005-06,8481.13293756397
Minnesota,2006-07,8816.71141031941
Minnesota,2007-08,8934.344176668266
Minnesota,2008-09,9023.682593515301
Minnesota,2009-10,9738.944105204992
Minnesota,2010-11,10275.835155106852
Minnesota,2011-12,10582.571737148219
Minnesota,2012-13,10792.889229345625
Minnesota,2013-14,10690.90604386084
Minnesota,2014-15,10582.08972204847
Minnesota,2015-16,10831.360471619942
Mississippi,2004-05,5028.870718057022
Mississippi,2005-06,5110.1757215967245
Mississippi,2006-07,5218.723832923833
Mississippi,2007-08,5450.202006721075
Mississippi,2008-09,5367.338919095851
Mississippi,2009-10,5487.8528913262535
Mississippi,2010-11,5795.277651127695
Mississippi,2011-12,5992.706075548197
Mississippi,2012-13,6415.732531950555
Mississippi,2013-14,6707.111424287481
Mississippi,2014-15,6870.364318457524
Mississippi,2015-16,7147.2712342461355
Missouri,2004-05,7477.1533051742335
Missouri,2005-06,7659.156775844421
